□ 평균 분양가격,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위: 천원/3.3㎡)
구분,,2013년,2014년,,,,,,,,,,,,2015년,,,,전월비,전년말비,전년동월비,
시도,시군구,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,,,,
전국,,"8,059","8,130","8,195","8,204","8,289","8,358","8,344","8,333","8,395","8,459","8,488","8,569","8,584","8,605","8,602","8,563","8,613",49 ,29 ,324 ,
서울,,"18,189","17,925","17,925","18,016","18,098","19,446","18,867","18,742","19,274","19,404","19,759","20,242","20,269","20,670","20,670","19,415","18,842",-573 ,"-1,427 ",744 ,
6대광역시,부산,"8,111","8,111","9,078","8,965","9,402","9,501","9,453","9,457","9,411","9,258","9,110","9,208","9,208","9,204","9,235","9,279","9,327",48 ,118 ,-75 ,
,대구,"8,080","8,080","8,077","8,101","8,267","8,274","8,360","8,360","8,370","8,449","8,403","8,439","8,253","8,327","8,416","8,441","8,446",4 ,193 ,178 ,
,인천,"10,204","10,204","10,408","10,408","10,000","9,844","10,058","9,974","9,973","9,973","10,016","10,020","10,020","10,017","9,876","9,876","9,938",62 ,-81 ,-62 ,
,광주,"6,098","7,326","7,611","7,346","7,346","7,523","7,659","7,612","7,622","7,802","7,707","7,752","7,748","7,752","7,756","7,861","7,914",53 ,166 ,569 ,
,대전,"8,321","8,321","8,321","8,341","8,341","8,341","8,333","8,333","8,333","8,048","8,038","8,067","8,067","8,067","8,067","8,067","8,145",78 ,78 ,-196 ,
,울산,"8,090","8,090","8,090","8,153","8,153","8,153","8,153","8,153","8,493","8,493","8,627","8,891","8,891","8,526","8,526","8,629","9,380",751 ,489 ,"1,227 ",
,,"8,151","8,355","8,597","8,552","8,585","8,606","8,669","8,648","8,700","8,671","8,650","8,730","8,698","8,649","8,646","8,692","8,858",166 ,160 ,274 ,
경기,,"10,855","10,855","10,791","10,784","10,876","10,646","10,266","10,124","10,134","10,501","10,397","10,356","10,379","10,391","10,355","10,469","10,684",215 ,304 ,-192 ,
수도권,,"13,083","12,995","13,041","13,069","12,991","13,312","13,064","12,947","13,127","13,293","13,391","13,539","13,556","13,693","13,634","13,253","13,155",-99 ,-401 ,163 ,
세종,,"7,601","7,600","7,532","7,814","7,908","7,934","8,067","8,067","8,141","8,282","8,527","8,592","8,560","8,560","8,560","8,555","8,546",-9 ,-14 ,638 ,
지방,강원,"6,230","6,230","6,230","6,141","6,373","6,350","6,350","6,268","6,268","6,419","6,631","6,365","6,365","6,348","6,350","6,182","6,924",743 ,559 ,552 ,
,충북,"6,589","6,589","6,611","6,625","6,678","6,598","6,587","6,586","6,586","6,584","6,529","6,724","6,743","6,749","6,747","6,783","6,790",6 ,47 ,112 ,
,충남,"6,365","6,365","6,379","6,287","6,552","6,591","6,644","6,805","6,914","6,882","6,831","6,940","6,989","6,976","6,980","7,161","7,017",-145 ,28 ,465 ,
,전북,"6,282","6,281","5,946","5,966","6,277","6,306","6,351","6,319","6,436","6,719","6,581","6,583","6,583","6,583","6,583","6,542","6,551",9 ,-33 ,273 ,
,전남,"5,678","5,678","5,678","5,696","5,736","5,656","5,609","5,780","5,685","5,804","5,753","5,768","5,784","5,784","5,833","5,825","5,940",115 ,156 ,205 ,
,경북,"6,168","6,168","6,234","6,317","6,412","6,409","6,554","6,556","6,563","6,577","6,778","6,881","6,989","6,992","6,953","6,997","7,006",9 ,17 ,595 ,
,경남,"6,473","6,485","6,502","6,610","6,599","6,610","6,615","6,613","6,606","6,767","6,881","7,125","7,332","7,592","7,588","7,668","7,683",16 ,351 ,"1,084 ",
,제주,"7,674","7,900","7,900","7,900","7,900","7,900","7,914","7,914","7,914","7,833","7,724","7,724","7,739","7,739","7,739","7,826","7,285",-541 ,-454 ,-615 ,
,,"6,432","6,462","6,435","6,443","6,566","6,552","6,578","6,605","6,621","6,698","6,714","6,764","6,816","6,846","6,847","6,873","6,899",26 ,84 ,334 ,
